Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Cost,Average eCPI,app_id,app_name,app_platform
2025-08-01,None,Organic,None,N/A,N/A,N/A,49,N/A,0,1,0.0204,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-01,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,3829,1387,0.3622,16,0.0115,32,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-01,None,moloco_int,NLZ_1703_RDPInApp_Camp291,5642,2009,0.3561,14,0.0070,28,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-01,None,moloco_int,NL_1701_Mol_RDPInApp_Camp259,3954,1491,0.3771,8,0.0054,16,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-01,None,moloco_int,RpYTpFHH_199_sub3_olump_sub5_sub6,23743,3481,0.1466,7,0.0020,14,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-02,None,Organic,None,N/A,N/A,N/A,61,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-02,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,7168,2746,0.3831,31,0.0113,62,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-02,None,moloco_int,NLZ_1703_RDPInApp_Camp291,6535,2366,0.3621,15,0.0063,30,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-02,None,moloco_int,NL_1701_Mol_RDPInApp_Camp259,7073,2460,0.3478,6,0.0024,12,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-03,None,Organic,None,N/A,N/A,N/A,64,N/A,0,1,0.0156,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-03,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,10904,4268,0.3914,47,0.0110,101,2,0.0426,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-03,None,moloco_int,NLZ_1703_RDPInApp_Camp291,8958,3148,0.3514,13,0.0041,26,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-03,None,moloco_int,NL_1701_Mol_RDPInApp_Camp259,6903,2378,0.3445,3,0.0013,6,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-04,None,Organic,None,N/A,N/A,N/A,64,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-04,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,8949,3226,0.3605,31,0.0096,62,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-04,None,moloco_int,NLZ_1703_RDPInApp_Camp291,4325,1627,0.3762,2,0.0012,4,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-04,None,moloco_int,NL_1701_Mol_RDPInApp_Camp259,5513,1918,0.3479,8,0.0042,16,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-05,None,Organic,None,N/A,N/A,N/A,59,N/A,0,1,0.0169,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-05,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,7214,2739,0.3797,33,0.0120,66,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-05,None,moloco_int,NL_1701_Mol_RDPInApp_Camp259,4370,1607,0.3677,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-06,None,Organic,None,N/A,N/A,N/A,66,N/A,0,2,0.0303,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-06,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,5203,1977,0.3800,28,0.0142,56,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-06,None,moloco_int,NL_1701_Mol_RDPInApp_Camp259,2236,887,0.3967,1,0.0011,2,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-07,None,Organic,None,N/A,N/A,N/A,44,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-07,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,6388,2437,0.3815,36,0.0148,72,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-07,None,moloco_int,NL_1701_Mol_RDPInApp_Camp259,188,81,0.4309,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-07,None,moloco_int,{{campaign.title}},2,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-08,None,Organic,None,N/A,N/A,N/A,46,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-08,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,8323,3075,0.3695,29,0.0094,58,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-09,None,Organic,None,N/A,N/A,N/A,45,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-09,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,11221,3994,0.3559,37,0.0093,74,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-10,None,Organic,None,N/A,N/A,N/A,53,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-10,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,12061,4452,0.3691,46,0.0103,92,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,Organic,None,N/A,N/A,N/A,63,N/A,0,1,0.0159,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,10642,3864,0.3631,38,0.0098,76,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,None,2,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,PM38__sub2__PRT__MountQuizmore__sub5__sub6,70,29,0.4143,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,PM38_sub2_PRT_MountQuizmore_sub5_sub6,422,125,0.2962,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,sub1__PM38__PRT__MountQuizmore__sub5__sub6,2241,705,0.3146,0,0.0000,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,{campaign.title}},1,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,{{campaign.title},1,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-11,None,moloco_int,{{campaign.title}},41,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-12,None,Organic,None,N/A,N/A,N/A,41,N/A,0,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-12,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,10928,3784,0.3463,46,0.0122,95,1,0.0217,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-12,None,moloco_int,NL_Olympus_ios_[12/08],6164,2369,0.3843,9,0.0038,20,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-12,None,moloco_int,PM38_sub2_PRT_MountQuizmore_sub5_sub6,10064,3378,0.3357,9,0.0027,18,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-12,None,moloco_int,inapp_moloco_806_14zeus1_sub5_sub6_sub7_sub8_Hjt2L4dv_PM16,12870,5335,0.4145,17,0.0032,36,1,0.0588,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-12,None,moloco_int,sub1__PM38__PRT__MountQuizmore__sub5__sub6,1,N/A,N/A,0,N/A,0,0,N/A,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-13,None,Organic,None,N/A,N/A,N/A,53,N/A,0,1,0.0189,N/A,N/A,id6747419978,Mount Quizmore,ios
2025-08-13,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,12535,4458,0.3556,40,0.0090,80,0,0.0000,N/A,N/A,id6747419978,Mount Quizmore,ios
