Date,Country,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,af_complete_registration (Unique users),af_complete_registration (Event counter),af_complete_registration (Sales in USD),af_purchase (Unique users),af_purchase (Event counter),af_purchase (Sales in USD),app_id,app_name,app_platform,report_type,af_app_opened (Unique users),af_app_opened (Event counter),af_app_opened (Sales in USD)
2025-11-17,BG,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,1,1,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,FR,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,2,2,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,HK,None,moloco_int,TRUST_X6gkGHzF_2331_sub4_sub5_sub6_sub7_sub8_sub9_sub10_sub11,104,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,KR,None,moloco_int,TRUST_X6gkGHzF_2331_sub4_sub5_sub6_sub7_sub8_sub9_sub10_sub11,13052,9315,0.7137,6,0.0006,12,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,NL,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,3,3,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,PH,None,moloco_int,TRUST_X6gkGHzF_2331_sub4_sub5_sub6_sub7_sub8_sub9_sub10_sub11,2,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,RO,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,1,1,1.0000,0,0.0000,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,TW,None,moloco_int,TRUST_X6gkGHzF_2331_sub4_sub5_sub6_sub7_sub8_sub9_sub10_sub11,5,N/A,N/A,0,N/A,0,0,N/A,0.0000,N/A,N/A,N/A,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,UK,None,Organic,None,N/A,N/A,N/A,27,N/A,0,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,0,0,0.0,0,0,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
2025-11-17,UK,None,moloco_int,GB_170_Mol_RDPInApp_Camp258,3204,2966,0.9257,16,0.0054,32,0,0.0000,0.0000,N/A,N/A,0.0000,N/A,8,8,0.0,3,3,0.0,id6747419978,Mount Quizmore,ios,geo_by_date_report,,,
