date,agency_pmd,media_source,campaign,impressions,clicks,ctr,installs,conversion_rate,sessions,loyal_users,loyal_users_installs,total_cost,average_ecpi,app_name,device
2025-09-08,,Organic,,,,,69,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-08,,moloco_int,AA_MountQuizmore_AUS_IydoaGkKXENByH2I_ZAG_ACC17,2488,745,0.2994,8,0.0107,16,0,0.0000,,,Mount Quizmore,ios
2025-09-08,,moloco_int,AA_MountQuizmore_COL_IXrie4znqxDv9MMC_YNI_ACC26,7421,2848,0.3838,35,0.0123,70,0,0.0000,,,Mount Quizmore,ios
2025-09-08,,moloco_int,AA_MountQuizmore_FIN_Qy3QHIRCbrrRTguj_GLE_ACC23,3199,1434,0.4483,3,0.0021,6,0,0.0000,,,Mount Quizmore,ios
2025-09-08,,moloco_int,GB_170_Mol_RDPInApp_Camp258,9895,3903,0.3944,29,0.0074,58,0,0.0000,,,Mount Quizmore,ios
2025-09-08,,moloco_int,PM30_zN2J5wFP_sub3_sub4_sub5_sub6_sub7_cub_8_sub9_sub10_sub11_sub12,28177,8991,0.3191,32,0.0036,64,0,0.0000,,,Mount Quizmore,ios
2025-09-08,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,306,144,0.4706,0,0.0000,0,0,,,,Mount Quizmore,ios
2025-09-08,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,17157,7557,0.4405,14,0.0019,28,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,Organic,,,,,64,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,moloco_int,AA_MountQuizmore_AUS_IydoaGkKXENByH2I_ZAG_ACC17,1157,377,0.3258,5,0.0133,10,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,moloco_int,AA_MountQuizmore_FIN_Qy3QHIRCbrrRTguj_GLE_ACC23,2220,928,0.4180,3,0.0032,6,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,moloco_int,AA_MountQuizmore_KOR_xJx1ovLBEw1mAjxB_YNI_ACC26,357,84,0.2353,2,0.0238,4,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,moloco_int,GB_170_Mol_RDPInApp_Camp258,8445,3242,0.3839,22,0.0068,44,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,moloco_int,PM30_zN2J5wFP_sub3_sub4_sub5_sub6_sub7_cub_8_sub9_sub10_sub11_sub12,,10,,2,0.2000,4,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,238,112,0.4706,1,0.0089,2,0,0.0000,,,Mount Quizmore,ios
2025-09-09,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8 copy 06.09,18349,8303,0.4525,16,0.0019,32,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,Organic,,,,,57,,0,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,AA_MountQuizmore_COL_TZtRBcJYr0I9TKBf_ZAG_ACC14,653,210,0.3216,1,0.0048,2,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,AA_MountQuizmore_COL_ikjyjwg1PdZ5bTZZ_ZAG_ACC17,552,194,0.3514,1,0.0052,2,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,AA_MountQuizmore_COL_tuaWP9OgyljahY6h_SEM_ACC13,605,339,0.5603,2,0.0059,4,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,AA_MountQuizmore_KOR_ArDIoIqjR0yZgzaL_ZAG_ACC17,2827,626,0.2214,6,0.0096,12,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,AA_MountQuizmore_KOR_j2lDJHo9R54qRAyk_ZAG_ACC14,1560,327,0.2096,6,0.0183,12,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,AA_MountQuizmore_KOR_xJx1ovLBEw1mAjxB_YNI_ACC26,1745,568,0.3255,6,0.0106,12,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,GB_170_Mol_RDPInApp_Camp258,8835,3313,0.3750,35,0.0106,68,0,0.0000,,,Mount Quizmore,ios
2025-09-10,,moloco_int,PM34_sub2_sub3_sub4_sub5_sub6_sub7_sub8,1436,632,0.4401,1,0.0016,2,0,0.0000,,,Mount Quizmore,ios
